1	1	200	4.3	Test
1	2	2330	64.3	Test
2	2	203	21.22	Backend
2	3	2253	81.22	Backend
2	7	253	41.26	Backend
3	3	322	33.42	Frontend
3	4	124	13.42	Frontend
4	4	424	21.22	Test
4	5	1424	83.22	Test
5	1	35	1.29	Frontend
5	1	5335	41.29	Frontend
6	2	2235	45.29	Frontend
6	3	25	15.29	Frontend
6	7	464	44.4	Frontend
7	3	424	21.22	Test
7	4	1424	83.22	Test
8	4	203	21.22	Backend
8	5	2253	81.22	Backend
8	6	253	41.26	Backend
9	1	2235	45.29	Frontend
9	2	25	15.29	Frontend
9	6	464	44.4	Frontend
10	2	1424	83.22	Test
10	3	300	35.45	Test
10	7	45	3.22	Test
